wavelenght,n,k
9.4629842e-10,0.9996214,0.0001458
9.4658718e-10,0.9996297,0.00012339999
9.4687642e-10,0.99963619999,0.0001043
9.4716583e-10,0.99963840001,9.6379998e-05
9.4788987e-10,0.99962359999,8.4380001e-05
9.486152e-10,0.9996138,8.0329999e-05
9.4934151e-10,0.99960720001,7.9780002e-05
9.5006899e-10,0.9996027,7.8379999e-05
9.5079758e-10,0.9995992,7.8179997e-05
9.515273299999998e-10,0.99959660001,7.8379999e-05
9.5225812e-10,0.999595,7.8179997e-05
9.5299003e-10,0.99959270001,7.6379998e-05
9.5313648e-10,0.99959230001,7.5579999e-05
9.5372309e-10,0.99959019999,7.5780001e-05
9.9187205e-10,0.99953589999,8.7040004e-05
1.0332e-09,0.99949339998,0.0001005
1.0781218999999998e-09,0.99944829999,0.0001166
1.1271269999999999e-09,0.99939880002,0.0001361
1.1808e-09,0.99934430001,0.00015979999
1.2398400999999998e-09,0.99928480003,0.0001887
1.2460699999999998e-09,0.99927819998,0.00019190001
1.2523639999999998e-09,0.99927219999,0.0001952
1.2587209999999999e-09,0.9992657,0.0001986
1.265143e-09,0.99925920001,0.000202
1.271631e-09,0.99925270001,0.00020559999
1.2781859999999999e-09,0.99924620002,0.00020920001
1.2848079999999998e-09,0.99923969997,0.00021290001
1.2915001e-09,0.99923269998,0.0002166
1.2982619999999998e-09,0.99922619999,0.00022050001
1.305095e-09,0.9992197,0.0002241
1.312e-09,0.9992132,0.0002278
1.318979e-09,0.99920620001,0.0002316
1.3260319999999998e-09,0.99919870001,0.0002355
1.3331609999999999e-09,0.99919170002,0.00023960001
1.3403679e-09,0.99918420002,0.00024369999
1.3476520999999998e-09,0.99917670002,0.0002484
1.355016e-09,0.99916970002,0.00025340001
1.3624619e-09,0.99916270003,0.00025859999
1.369989e-09,0.99915569997,0.0002637
1.3730229999999998e-09,0.99915370002,0.00026569999
1.3776e-09,0.99914969999,0.00026840001
1.385296e-09,0.9991432,0.00027250001
1.3930789e-09,0.9991367,0.00027610001
1.396216e-09,0.99913359998,0.00027749999
1.3993679999999999e-09,0.99913010001,0.000279
1.402534e-09,0.99912659999,0.00028060001
1.405714e-09,0.99912310002,0.0002824
1.408909e-09,0.99911959999,0.00028440001
1.4121179999999999e-09,0.99911610002,0.0002868
1.415343e-09,0.99911259999,0.00028959999
1.4185809999999998e-09,0.99910959997,0.00029220001
1.421835e-09,0.99910710001,0.0002947
1.4251039999999998e-09,0.99910409999,0.00029729999
1.426743e-09,0.99910259998,0.0002985
1.428387e-09,0.99910160003,0.00029970001
1.430035e-09,0.99909960001,0.00030089999
1.4316859999999998e-09,0.9990986,0.0003021
1.4333409e-09,0.99909709999,0.00030350001
1.4350000000000001e-09,0.99909559998,0.00030489999
1.4366629999999998e-09,0.99909360002,0.0003063
1.4383289999999998e-09,0.99909210001,0.00030799999
1.44e-09,0.9990901,0.00031030001
